'person', ':', '50.43683052062988', ':', '[1226, 294, 1555, 558]'
'person', ':', '50.543028116226196', ':', '[1164, 635, 1307, 785]'
'person', ':', '57.33538866043091', ':', '[961, 467, 1111, 678]'
'person', ':', '61.08190417289734', ':', '[447, 592, 603, 836]'
'person', ':', '69.12274956703186', ':', '[408, 549, 490, 691]'
'person', ':', '72.85879850387573', ':', '[1059, 546, 1197, 782]'
'person', ':', '87.17948198318481', ':', '[1517, 526, 1691, 1342]'
'person', ':', '90.05719423294067', ':', '[854, 560, 1020, 775]'
'person', ':', '92.05154180526733', ':', '[717, 521, 903, 773]'
'person', ':', '94.24424767494202', ':', '[144, 623, 390, 1335]'
'person', ':', '95.51844000816345', ':', '[1305, 584, 1614, 1342]'
'person', ':', '98.74570369720459', ':', '[554, 649, 790, 1360]'
'person', ':', '98.9374041557312', ':', '[1646, 464, 1901, 1360]'
'person', ':', '99.40229654312134', ':', '[313, 714, 579, 1360]'
'building', ':', '98.21966290473938', ':', '[45, 318, 2033, 1324]'
'people_crowd', ':', '98.64656329154968', ':', '[0, 394, 2148, 1328]'
