'tv', ':', '94.0981388092041', ':', '[44, 50, 105, 102]'
'dining table', ':', '53.41241955757141', ':', '[281, 330, 554, 391]'
'dining table', ':', '74.65972900390625', ':', '[313, 329, 922, 601]'
'chair', ':', '51.76940560340881', ':', '[332, 387, 434, 484]'
'chair', ':', '53.42615246772766', ':', '[1, 241, 54, 354]'
'chair', ':', '56.357771158218384', ':', '[806, 505, 870, 582]'
'chair', ':', '56.693220138549805', ':', '[134, 230, 176, 255]'
'chair', ':', '59.07464623451233', ':', '[597, 371, 657, 411]'
'chair', ':', '62.33477592468262', ':', '[819, 398, 889, 535]'
'chair', ':', '63.00249099731445', ':', '[922, 444, 948, 515]'
'chair', ':', '65.8263087272644', ':', '[396, 295, 462, 336]'
'chair', ':', '74.64544773101807', ':', '[534, 496, 651, 617]'
'chair', ':', '77.2803246974945', ':', '[718, 545, 801, 617]'
'chair', ':', '80.27339577674866', ':', '[595, 344, 666, 402]'
'chair', ':', '90.40622115135193', ':', '[622, 475, 744, 617]'
'chair', ':', '91.82584285736084', ':', '[198, 406, 324, 561]'
'chair', ':', '94.64410543441772', ':', '[110, 312, 194, 438]'
'person', ':', '58.00697207450867', ':', '[101, 524, 217, 618]'
'person', ':', '63.95488381385803', ':', '[239, 202, 290, 280]'
'person', ':', '67.99293160438538', ':', '[404, 195, 453, 269]'
'person', ':', '70.4735517501831', ':', '[457, 240, 528, 336]'
'person', ':', '78.94876003265381', ':', '[561, 276, 647, 390]'
'person', ':', '79.23259139060974', ':', '[258, 234, 337, 346]'
'person', ':', '81.19463324546814', ':', '[810, 229, 892, 413]'
'person', ':', '94.82693672180176', ':', '[618, 197, 683, 363]'
'person', ':', '96.94992303848267', ':', '[32, 417, 161, 550]'
