'vase', ':', '56.121450662612915', ':', '[341, 1, 448, 78]'
'vase', ':', '60.65914034843445', ':', '[215, 0, 329, 69]'
'vase', ':', '70.14638185501099', ':', '[330, 289, 403, 400]'
'vase', ':', '72.16424942016602', ':', '[49, 253, 115, 364]'
'vase', ':', '75.86609721183777', ':', '[403, 84, 494, 176]'
'vase', ':', '76.48007869720459', ':', '[520, 57, 615, 159]'
'vase', ':', '78.97384762763977', ':', '[490, 297, 569, 430]'
'vase', ':', '79.68201637268066', ':', '[301, 75, 382, 170]'
'vase', ':', '81.01849555969238', ':', '[15, 51, 103, 137]'
'vase', ':', '82.11020827293396', ':', '[753, 337, 800, 475]'
'vase', ':', '84.62559580802917', ':', '[490, 154, 569, 298]'
'vase', ':', '87.65890002250671', ':', '[661, 331, 746, 461]'
'vase', ':', '90.76682925224304', ':', '[192, 62, 289, 182]'
'vase', ':', '94.7977602481842', ':', '[112, 64, 191, 150]'
'vase', ':', '95.66035270690918', ':', '[571, 320, 651, 446]'
'vase', ':', '97.04752564430237', ':', '[410, 295, 480, 410]'
