'person', ':', '52.12904214859009', ':', '[1005, 564, 1028, 631]'
'person', ':', '54.94807958602905', ':', '[984, 561, 1002, 608]'
'person', ':', '55.32706379890442', ':', '[883, 567, 896, 600]'
'person', ':', '61.451590061187744', ':', '[1126, 564, 1141, 603]'
'person', ':', '89.26095962524414', ':', '[1406, 573, 1427, 618]'
'person', ':', '91.19221568107605', ':', '[1014, 535, 1113, 737]'
'person', ':', '94.25641298294067', ':', '[599, 552, 626, 618]'
'person', ':', '97.11594581604004', ':', '[376, 560, 450, 685]'
'person', ':', '97.33961820602417', ':', '[1296, 547, 1342, 657]'
'person', ':', '99.74875450134277', ':', '[1213, 548, 1315, 733]'
'person', ':', '99.75849986076355', ':', '[693, 520, 804, 701]'
'building', ':', '98.72298836708069', ':', '[23, 4, 1442, 588]'
