'chair', ':', '51.04512572288513', ':', '[8, 730, 274, 987]'
'chair', ':', '68.50317120552063', ':', '[875, 533, 989, 740]'
'chair', ':', '70.87280750274658', ':', '[310, 660, 551, 987]'
'chair', ':', '71.93698287010193', ':', '[788, 554, 907, 828]'
'chair', ':', '73.6804723739624', ':', '[691, 580, 825, 900]'
'chair', ':', '77.31164693832397', ':', '[546, 621, 735, 965]'
'bottle', ':', '51.31692290306091', ':', '[1, 391, 31, 567]'
'bottle', ':', '51.79510712623596', ':', '[254, 408, 294, 545]'
'bottle', ':', '69.58267092704773', ':', '[218, 404, 259, 547]'
'drum', ':', '97.34490513801575', ':', '[168, 11, 362, 156]'
'drum', ':', '97.97715544700623', ':', '[1006, 486, 1142, 677]'
'drum', ':', '97.4835753440857', ':', '[878, 438, 1028, 830]'
'drum', ':', '98.60605001449585', ':', '[775, 468, 909, 884]'
'drum', ':', '99.06849265098572', ':', '[690, 486, 823, 940]'
'drum', ':', '93.68798732757568', ':', '[45, 657, 267, 1038]'
