'dining table', ':', '58.51377844810486', ':', '[1758, 1240, 2118, 1777]'
'dining table', ':', '60.64297556877136', ':', '[425, 1520, 882, 1871]'
'chair', ':', '56.70916438102722', ':', '[2360, 926, 2473, 1035]'
'chair', ':', '58.92231464385986', ':', '[1630, 1189, 1843, 1580]'
'chair', ':', '64.83656167984009', ':', '[659, 1296, 950, 1557]'
'chair', ':', '65.51377773284912', ':', '[1418, 805, 1609, 1209]'
'chair', ':', '68.29901337623596', ':', '[1559, 720, 1735, 1113]'
'chair', ':', '70.34415006637573', ':', '[953, 943, 1318, 1438]'
'chair', ':', '73.63487482070923', ':', '[1781, 1393, 2101, 1770]'
'chair', ':', '82.54677057266235', ':', '[2039, 1699, 2349, 1909]'
'chair', ':', '85.9366774559021', ':', '[2283, 1029, 2515, 1371]'
'bowl', ':', '64.76339101791382', ':', '[882, 753, 1064, 902]'
'person', ':', '63.021260499954224', ':', '[233, 1372, 469, 1795]'
'drum', ':', '95.25473117828369', ':', '[1109, 542, 1400, 1490]'
