'dining table', ':', '55.08766770362854', ':', '[0, 584, 1356, 668]'
'donut', ':', '53.17976474761963', ':', '[83, 387, 380, 525]'
'donut', ':', '53.618478775024414', ':', '[877, 283, 1053, 415]'
'donut', ':', '63.35861086845398', ':', '[75, 504, 381, 609]'
'donut', ':', '74.62983131408691', ':', '[629, 218, 908, 303]'
'donut', ':', '78.46148610115051', ':', '[373, 441, 646, 612]'
'donut', ':', '91.17664098739624', ':', '[611, 294, 915, 427]'
'donut', ':', '94.92518305778503', ':', '[134, 281, 405, 404]'
'donut', ':', '97.93256521224976', ':', '[325, 178, 529, 320]'
'donut', ':', '99.40775632858276', ':', '[385, 270, 610, 454]'
'cup', ':', '65.44820070266724', ':', '[535, 151, 703, 295]'
'cup', ':', '85.07694005966187', ':', '[423, 137, 585, 256]'
