'broccoli', ':', '96.70649766921997', ':', '[92, 266, 278, 493]'
'apple', ':', '58.84208083152771', ':', '[142, 145, 275, 271]'
'bowl', ':', '70.15764117240906', ':', '[487, 177, 597, 301]'
'bowl', ':', '71.23029232025146', ':', '[264, 202, 414, 353]'
'bowl', ':', '89.99000191688538', ':', '[737, 79, 922, 242]'
'bowl', ':', '93.40559840202332', ':', '[598, 170, 754, 345]'
'bowl', ':', '94.7062611579895', ':', '[605, 52, 723, 167]'
'bowl', ':', '98.1011152267456', ':', '[904, 159, 1024, 353]'
'bowl', ':', '99.10142421722412', ':', '[751, 259, 930, 478]'
'drum', ':', '95.26442885398865', ':', '[602, 111, 752, 382]'
'drum', ':', '96.89652919769287', ':', '[270, 155, 410, 381]'
