'sheep', ':', '51.718348264694214', ':', '[720, 379, 790, 446]'
'sheep', ':', '60.829174518585205', ':', '[612, 483, 700, 641]'
'sheep', ':', '76.50008797645569', ':', '[0, 256, 885, 694]'
'sheep', ':', '79.53159809112549', ':', '[131, 491, 243, 549]'
'sheep', ':', '79.7052264213562', ':', '[710, 447, 801, 588]'
'sheep', ':', '81.28388524055481', ':', '[653, 399, 749, 466]'
'sheep', ':', '93.7132716178894', ':', '[6, 534, 210, 750]'
'sheep', ':', '95.21311521530151', ':', '[151, 512, 346, 756]'
'sheep', ':', '98.31744432449341', ':', '[306, 531, 550, 744]'
'sheep', ':', '98.82780313491821', ':', '[545, 511, 684, 742]'
'sheep', ':', '99.49697852134705', ':', '[740, 456, 871, 642]'
'person', ':', '67.76597499847412', ':', '[965, 217, 983, 270]'
'person', ':', '73.18801879882812', ':', '[952, 213, 971, 273]'
'person', ':', '82.83129930496216', ':', '[892, 220, 914, 269]'
'person', ':', '92.01194047927856', ':', '[985, 216, 1006, 272]'
'person', ':', '99.3396520614624', ':', '[790, 252, 926, 533]'
'people_crowd', ':', '98.49491715431213', ':', '[0, 283, 1035, 575]'
