'truck', ':', '52.1989643573761', ':', '[272, 123, 303, 152]'
'car', ':', '59.64348912239075', ':', '[443, 170, 465, 190]'
'car', ':', '59.957319498062134', ':', '[339, 134, 355, 150]'
'car', ':', '70.35232782363892', ':', '[220, 151, 240, 170]'
'car', ':', '73.56905937194824', ':', '[315, 153, 341, 170]'
'car', ':', '74.42122101783752', ':', '[205, 154, 222, 175]'
'car', ':', '80.21720051765442', ':', '[272, 154, 302, 182]'
'car', ':', '91.11317992210388', ':', '[356, 149, 386, 176]'
'car', ':', '95.8036720752716', ':', '[169, 154, 210, 184]'
'car', ':', '97.25670218467712', ':', '[310, 175, 345, 202]'
'car', ':', '98.25512766838074', ':', '[469, 205, 569, 274]'
'car', ':', '98.4190046787262', ':', '[410, 248, 544, 343]'
'car', ':', '99.16637539863586', ':', '[228, 172, 276, 210]'
'car', ':', '99.2412805557251', ':', '[323, 195, 383, 250]'
'car', ':', '99.43819642066956', ':', '[270, 244, 383, 366]'
'person', ':', '54.968851804733276', ':', '[148, 147, 156, 176]'
'person', ':', '61.23150587081909', ':', '[137, 147, 145, 175]'
'person', ':', '88.67018818855286', ':', '[123, 138, 132, 175]'
'person', ':', '99.32580590248108', ':', '[41, 167, 63, 218]'
